ticket_id,created_date,resolved_date,category,subcategory,application_name,priority,status,assigned_team,assigned_engineer,reported_by,root_cause,sla_target_hours,first_response_minutes,resolution_time_hours,sla_breached,reopened_count,change_related,csat_score,resolution_notes
INC102181,2025-09-01 09:53,2025-09-03 13:32,Application Issue,Application Crash,CRM Portal,P4 - Low,Resolved,App Dev Team,K. Suresh,End User,Data Issue,72,180,51.66,False,0,False,5,Identified faulty code path; deployed hotfix / config change and validated with user.
INC100616,2025-09-01 10:33,2025-09-01 22:23,Database,Deadlock,Inventory System,P2 - High,Resolved,DBA Team,J. Antony,Customer,Capacity/Performance,8,33,11.84,True,0,False,5,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC102157,2025-09-01 13:48,2025-09-01 21:39,Database,Connection Pool Exhausted,Payment Gateway,P3 - Medium,Resolved,DBA Team,R. Iyer,Monitoring Alert,Capacity/Performance,24,40,7.85,False,0,False,4,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC101221,2025-09-01 15:09,2025-09-02 13:23,Application Issue,Feature Not Working,Payment Gateway,P3 - Medium,Resolved,App Dev Team,R. Iyer,Batch Job Monitor,Infra Failure,24,18,22.24,False,0,False,3,Identified faulty code path; deployed hotfix / config change and validated with user.
INC101683,2025-09-01 17:07,2025-09-01 22:57,Access/Authentication,Permission Denied,Order Management System,P2 - High,Closed,L2 Support,K. Suresh,Batch Job Monitor,Capacity/Performance,8,22,5.84,False,0,False,5,Reset credentials / corrected access role; user confirmed successful login.
INC101153,2025-09-01 17:44,2025-09-02 13:59,Network,Firewall Block,Billing Engine,P4 - Low,Resolved,Network Team,P. Arjun,Support Team (Proactive),Code Defect,72,247,20.25,False,0,False,4,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC100185,2025-09-01 18:12,2025-09-02 16:14,Network,DNS Issue,Reporting Dashboard,P3 - Medium,Resolved,Network Team,A. Rangan,Monitoring Alert,Infra Failure,24,67,22.04,False,0,False,5,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC100330,2025-09-01 19:09,2025-09-02 14:00,Integration/API,Third-Party Timeout,Billing Engine,P3 - Medium,Resolved,L3 Engineering,K. Suresh,Monitoring Alert,Third-Party Outage,24,90,18.85,False,0,False,5,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC100691,2025-09-01 21:25,2025-09-01 23:34,Database,Deadlock,Order Management System,P2 - High,Resolved,DBA Team,K. Suresh,Batch Job Monitor,Capacity/Performance,8,33,2.16,False,0,False,5,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC101099,2025-09-02 09:41,2025-09-06 04:16,Application Issue,Feature Not Working,Inventory System,P4 - Low,Resolved,L2 Support,A. Rangan,Batch Job Monitor,Third-Party Outage,72,117,90.59,True,0,False,4,Identified faulty code path; deployed hotfix / config change and validated with user.
INC100900,2025-09-02 11:03,2025-09-02 18:03,Application Issue,Data Mismatch,Order Management System,P3 - Medium,Closed,App Dev Team,S. Priya,Batch Job Monitor,Infra Failure,24,92,7.0,False,0,False,4,Identified faulty code path; deployed hotfix / config change and validated with user.
INC101371,2025-09-02 11:53,2025-09-02 18:18,Security,Certificate Expiry,Payment Gateway,P3 - Medium,Resolved,L3 Engineering,S. Priya,Support Team (Proactive),Configuration Error,24,32,6.42,False,0,False,4,"Investigated alert, confirmed false positive / revoked access; updated certificate."
INC101287,2025-09-02 12:32,2025-09-03 08:10,Batch Job Failure,Job Not Triggered,HR Portal,P3 - Medium,Resolved,App Dev Team,S. Priya,Customer,User Error,24,64,19.64,False,0,False,5,Re-triggered job after correcting input file; added validation check.
INC101359,2025-09-02 14:09,2025-09-09 01:53,Server/Infra,Memory Leak,Core Banking App,P4 - Low,Resolved,L3 Engineering,B. Meena,Monitoring Alert,Capacity/Performance,72,243,155.74,True,0,False,2,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC101425,2025-09-02 14:18,2025-09-05 09:39,Integration/API,API Failure,Inventory System,P4 - Low,Resolved,L3 Engineering,J. Antony,Support Team (Proactive),Third-Party Outage,72,92,67.36,False,0,True,5,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC101019,2025-09-02 14:53,2025-09-02 21:57,Hardware,Workstation Failure,Payment Gateway,P2 - High,Resolved,L1 Support,R. Iyer,Customer,Configuration Error,8,29,7.08,False,0,False,5,Replaced/reset device; confirmed functioning with end user.
INC100656,2025-09-02 16:35,2025-09-03 00:41,Security,Certificate Expiry,Core Banking App,P3 - Medium,Resolved,L3 Engineering,L. Chitra,Batch Job Monitor,Capacity/Performance,24,40,8.11,False,0,False,4,"Investigated alert, confirmed false positive / revoked access; updated certificate."
INC102115,2025-09-02 19:56,2025-09-10 18:11,Network,Latency,Core Banking App,P4 - Low,Resolved,Network Team,V. Prasad,Monitoring Alert,Configuration Error,72,111,190.26,True,0,False,1,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC100595,2025-09-03 01:16,2025-09-03 10:18,Application Issue,UI Error,HR Portal,P1 - Critical,Resolved,L2 Support,R. Iyer,Batch Job Monitor,Capacity/Performance,4,11,9.04,True,0,False,4,Identified faulty code path; deployed hotfix / config change and validated with user.
INC101314,2025-09-03 09:19,2025-09-05 14:13,Application Issue,Data Mismatch,CRM Portal,P4 - Low,Resolved,L2 Support,R. Iyer,Monitoring Alert,Code Defect,72,108,52.91,False,0,True,3,Identified faulty code path; deployed hotfix / config change and validated with user.
INC101756,2025-09-03 11:23,2025-09-04 00:34,Batch Job Failure,Job Not Triggered,Core Banking App,P3 - Medium,Resolved,App Dev Team,V. Prasad,Monitoring Alert,Third-Party Outage,24,31,13.19,False,0,False,4,Re-triggered job after correcting input file; added validation check.
INC101444,2025-09-03 11:52,2025-09-05 19:36,Batch Job Failure,Job Timeout,Payment Gateway,P4 - Low,Closed,App Dev Team,B. Meena,Monitoring Alert,Code Defect,72,141,55.74,False,0,False,1,Re-triggered job after correcting input file; added validation check.
INC100988,2025-09-03 16:05,2025-09-03 18:01,Server/Infra,Memory Leak,Payment Gateway,P2 - High,Resolved,L3 Engineering,V. Prasad,End User,Infra Failure,8,35,1.94,False,0,False,5,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC101697,2025-09-04 09:16,2025-09-06 09:57,Integration/API,API Failure,Billing Engine,P4 - Low,Resolved,App Dev Team,S. Priya,Support Team (Proactive),Infra Failure,72,165,48.69,False,0,False,5,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC101171,2025-09-04 10:08,2025-09-04 17:17,Access/Authentication,SSO Error,Order Management System,P3 - Medium,Resolved,L1 Support,M. Kumar,Support Team (Proactive),Code Defect,24,78,7.15,False,0,False,5,Reset credentials / corrected access role; user confirmed successful login.
INC100799,2025-09-04 12:16,2025-09-05 03:25,Network,Latency,Payment Gateway,P3 - Medium,Resolved,Network Team,M. Kumar,Batch Job Monitor,Data Issue,24,77,15.15,False,0,False,4,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC100236,2025-09-04 12:42,2025-09-13 01:48,Server/Infra,Memory Leak,Order Management System,P4 - Low,Resolved,Network Team,P. Arjun,End User,Infra Failure,72,151,205.11,True,0,False,1,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC100501,2025-09-04 15:00,2025-09-05 13:12,Database,Query Timeout,Auth Service,P4 - Low,Resolved,L3 Engineering,P. Arjun,Batch Job Monitor,Capacity/Performance,72,213,22.21,False,0,False,5,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC101432,2025-09-04 15:18,2025-09-14 15:09,Database,Connection Pool Exhausted,Customer Support Portal,P4 - Low,Resolved,DBA Team,B. Meena,Customer,Data Issue,72,144,239.85,True,0,False,1,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC101965,2025-09-04 16:46,2025-09-05 12:29,Batch Job Failure,Job Timeout,Auth Service,P2 - High,Resolved,App Dev Team,A. Rangan,Support Team (Proactive),Infra Failure,8,47,19.72,True,0,False,2,Re-triggered job after correcting input file; added validation check.
INC101872,2025-09-04 19:19,2025-09-05 16:25,Security,Certificate Expiry,Order Management System,P3 - Medium,Resolved,Network Team,J. Antony,Batch Job Monitor,Code Defect,24,32,21.11,False,0,False,4,"Investigated alert, confirmed false positive / revoked access; updated certificate."
INC102070,2025-09-04 21:46,2025-09-05 20:24,Application Issue,Feature Not Working,Customer Support Portal,P4 - Low,Resolved,L2 Support,V. Prasad,Support Team (Proactive),Code Defect,72,145,22.64,False,0,True,5,Identified faulty code path; deployed hotfix / config change and validated with user.
INC100056,2025-09-05 14:57,2025-09-05 18:04,Access/Authentication,Password Reset,Reporting Dashboard,P2 - High,Reopened,L2 Support,P. Arjun,Customer,User Error,8,19,3.13,False,1,True,4,Reset credentials / corrected access role; user confirmed successful login.
INC100454,2025-09-05 14:59,2025-09-06 01:25,Server/Infra,Memory Leak,Core Banking App,P1 - Critical,Resolved,Network Team,P. Arjun,Batch Job Monitor,Data Issue,4,19,10.44,True,0,False,4,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC100731,2025-09-05 15:09,2025-09-05 22:22,Access/Authentication,Password Reset,Reporting Dashboard,P3 - Medium,Resolved,L2 Support,P. Arjun,Monitoring Alert,Third-Party Outage,24,89,7.23,False,0,True,4,Reset credentials / corrected access role; user confirmed successful login.
INC100453,2025-09-05 15:35,2025-09-06 02:03,Integration/API,Payload Mismatch,Payment Gateway,P3 - Medium,Resolved,App Dev Team,P. Arjun,Customer,Configuration Error,24,33,10.47,False,0,False,5,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC100604,2025-09-05 16:37,2025-09-07 09:40,Application Issue,Data Mismatch,Inventory System,P4 - Low,Resolved,L2 Support,A. Rangan,End User,User Error,72,154,41.06,False,0,True,3,Identified faulty code path; deployed hotfix / config change and validated with user.
INC101062,2025-09-05 17:59,2025-09-05 19:49,Batch Job Failure,Job Not Triggered,Inventory System,P2 - High,Resolved,L3 Engineering,L. Chitra,End User,Configuration Error,8,35,1.84,False,0,False,3,Re-triggered job after correcting input file; added validation check.
INC101809,2025-09-05 18:05,2025-09-07 16:47,Database,Deadlock,Order Management System,P4 - Low,Resolved,L3 Engineering,J. Antony,Batch Job Monitor,Unknown,72,225,46.71,False,0,False,5,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC101198,2025-09-05 18:58,2025-09-05 22:23,Database,Connection Pool Exhausted,Auth Service,P2 - High,Closed,DBA Team,M. Kumar,Support Team (Proactive),Infra Failure,8,18,3.43,False,0,False,5,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC101131,2025-09-06 12:12,2025-09-07 00:00,Access/Authentication,Permission Denied,Payment Gateway,P3 - Medium,Closed,L1 Support,P. Arjun,Customer,Unknown,24,30,11.8,False,0,False,4,Reset credentials / corrected access role; user confirmed successful login.
INC102179,2025-09-06 15:13,2025-09-07 10:25,Database,Query Timeout,Customer Support Portal,P3 - Medium,Resolved,L3 Engineering,K. Suresh,Customer,Code Defect,24,71,19.2,False,0,False,5,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC101621,2025-09-06 16:43,2025-09-07 23:15,Server/Infra,Server Down,Auth Service,P4 - Low,Reopened,Network Team,J. Antony,Monitoring Alert,Capacity/Performance,72,218,30.54,False,1,False,3,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
